t,com_des_y,com_ff_y,com_x,com_y,com_z,margin_full,margin_left,margin_right,pelvis_roll,pelvis_pitch,Fn_left,Fn_right,slip_left,slip_right,n_contact_left,n_contact_right,sat_count,q_l_hip_yaw,q_l_hip_roll,q_l_hip_pitch,q_l_knee_pitch,q_l_ankle_pitch,q_l_ankle_roll,q_r_hip_yaw,q_r_hip_roll,q_r_hip_pitch,q_r_knee_pitch,q_r_ankle_pitch,q_r_ankle_roll,qd_l_hip_yaw,qd_l_hip_roll,qd_l_hip_pitch,qd_l_knee_pitch,qd_l_ankle_pitch,qd_l_ankle_roll,qd_r_hip_yaw,qd_r_hip_roll,qd_r_hip_pitch,qd_r_knee_pitch,qd_r_ankle_pitch,qd_r_ankle_roll,tau_l_hip_yaw,tau_l_hip_roll,tau_l_hip_pitch,tau_l_knee_pitch,tau_l_ankle_pitch,tau_l_ankle_roll,tau_r_hip_yaw,tau_r_hip_roll,tau_r_hip_pitch,tau_r_knee_pitch,tau_r_ankle_pitch,tau_r_ankle_roll
0,0,0,0.0030732,-6.73679e-18,0.201035,0.0330931,-0.0275,-0.0275,-4.7234e-18,-0.00280069,10.1043,10.1043,2.57746e-09,2.57746e-09,4,4,0,-8.13722e-18,-2.15972e-17,-0.100003,0.201739,-0.100668,2.9014e-17,4.6927e-19,8.17048e-18,-0.100003,0.201739,-0.100668,-3.17577e-17,1.36624e-16,3.54479e-16,-3.34031e-07,1.2724e-05,3.14862e-05,9.60264e-16,4.68383e-17,-4.57819e-16,-3.34031e-07,1.2724e-05,3.14862e-05,-6.34702e-16,2.38553e-16,4.09514e-16,0.000151345,-0.0782738,0.0200265,-8.7869e-16,-1.91003e-17,1.41689e-16,0.000151345,-0.0782738,0.0200265,9.811e-16
0.002,0,0,0.00307318,-6.73679e-18,0.201035,0.033093,-0.0275,-0.0275,-5.23294e-18,-0.0028008,10.1043,10.1043,5.23916e-09,5.23916e-09,4,4,0,-7.82395e-18,-2.01576e-17,-0.100003,0.201739,-0.100668,3.07899e-17,4.79553e-19,6.46475e-18,-0.100003,0.201739,-0.100668,-3.2816e-17,1.56633e-16,7.19816e-16,-3.31237e-07,1.21464e-05,2.9288e-05,8.87926e-16,5.14157e-18,-8.52866e-16,-3.31237e-07,1.21464e-05,2.9288e-05,-5.29148e-16,2.24724e-16,2.01186e-16,0.000151372,-0.0782745,0.0200249,-9.41895e-16,-2.07265e-17,3.3185e-16,0.000151372,-0.0782745,0.0200249,9.99973e-16
0.004,0,0,0.00307316,-6.73679e-18,0.201035,0.033093,-0.0275,-0.0275,-5.82758e-18,-0.00280091,10.1043,10.1043,7.97777e-09,7.97777e-09,4,4,0,-7.43123e-18,-1.85741e-17,-0.100003,0.201739,-0.100668,3.22387e-17,3.59444e-19,4.64019e-18,-0.100003,0.201739,-0.100668,-3.30697e-17,1.96361e-16,7.91759e-16,-3.27798e-07,1.15548e-05,2.70723e-05,7.24421e-16,-6.00546e-17,-9.1228e-16,-3.27798e-07,1.15548e-05,2.70723e-05,-1.26858e-16,2.12485e-16,-3.02416e-16,0.000151398,-0.0782752,0.0200233,-9.89786e-16,-1.51164e-17,8.80878e-16,0.000151398,-0.0782752,0.0200233,1.02387e-15
0.006,0,0,0.00307315,-6.73679e-18,0.201035,0.033093,-0.0275,-0.0275,-6.67222e-18,-0.00280101,10.1043,10.1043,1.07859e-08,1.07859e-08,4,4,0,-6.91992e-18,-1.67394e-17,-0.100003,0.201739,-0.100667,3.3676e-17,1.65562e-19,2.57163e-18,-0.100003,0.201739,-0.100667,-3.35536e-17,2.55656e-16,9.17341e-16,-3.23735e-07,1.09507e-05,2.48439e-05,7.18655e-16,-9.69411e-17,-1.03428e-15,-3.23735e-07,1.09507e-05,2.48439e-05,-2.4196e-16,1.95065e-16,-4.40588e-16,0.000151422,-0.0782759,0.020022,-1.02108e-15,-2.25896e-18,1.01049e-15,0.000151422,-0.0782759,0.020022,1.00153e-15
0.008,0,0,0.00307313,-6.73679e-18,0.201035,0.033093,-0.0275,-0.0275,-7.6268e-18,-0.0028011,10.1043,10.1043,1.36564e-08,1.36564e-08,4,4,0,-6.34193e-18,-1.47168e-17,-0.100003,0.201739,-0.100667,3.51299e-17,-6.56924e-20,3.67028e-19,-0.100003,0.201739,-0.100667,-3.3894e-17,2.88992e-16,1.01129e-15,-3.19068e-07,1.03356e-05,2.2608e-05,7.26928e-16,-1.15627e-16,-1.1023e-15,-3.19068e-07,1.03356e-05,2.2608e-05,-1.70202e-16,1.71309e-16,-6.53893e-16,0.000151445,-0.0782764,0.0200207,-1.06377e-15,8.79331e-18,1.2263e-15,0.000151445,-0.0782764,0.0200207,1.02462e-15
0.01,0,0,0.00307311,-6.73679e-18,0.201035,0.033093,-0.0275,-0.0275,-8.53386e-18,-0.00280119,10.1043,10.1043,1.65817e-08,1.65817e-08,4,4,0,-5.67848e-18,-1.26651e-17,-0.100003,0.201739,-0.100667,3.71246e-17,-4.88783e-19,-1.83673e-18,-0.100003,0.201739,-0.100667,-3.37289e-17,3.31727e-16,1.02587e-15,-3.13821e-07,9.71108e-06,2.03693e-05,9.97351e-16,-2.11545e-16,-1.10188e-15,-3.13821e-07,9.71108e-06,2.03693e-05,8.25798e-17,1.49237e-16,-8.32966e-16,0.000151466,-0.0782769,0.0200196,-1.108e-15,1.83833e-17,1.37816e-15,0.000151466,-0.0782769,0.0200196,1.02949e-15
0.012,0,0,0.00307309,-3.3684e-18,0.201035,0.033093,-0.0275,-0.0275,-9.23863e-18,-0.00280127,10.1043,10.1043,1.95547e-08,1.95547e-08,4,4,0,-4.74211e-18,-1.06104e-17,-0.100003,0.201739,-0.100667,3.79159e-17,-1.03035e-18,-3.92056e-18,-0.100003,0.201739,-0.100667,-3.32945e-17,4.68186e-16,1.02732e-15,-3.08015e-07,9.07862e-06,1.81326e-05,3.95656e-16,-2.70785e-16,-1.04192e-15,-3.08015e-07,9.07862e-06,1.81326e-05,2.17203e-16,1.23268e-16,-9.12901e-16,0.000151486,-0.0782774,0.0200187,-1.18797e-15,4.4691e-17,1.44374e-15,0.000151486,-0.0782774,0.0200187,1.00572e-15
0.014,0,0,0.00307308,-6.73679e-18,0.201035,0.0330929,-0.0275,-0.0275,-9.08862e-18,-0.00280135,10.1043,10.1043,2.2568e-08,2.2568e-08,4,4,0,-3.91188e-18,-9.06534e-18,-0.100003,0.201739,-0.100667,3.77891e-17,-1.44186e-18,-5.36199e-18,-0.100003,0.201739,-0.100667,-3.25673e-17,4.15114e-16,7.72554e-16,-3.01674e-07,8.43972e-06,1.59026e-05,-6.33855e-17,-2.05756e-16,-7.20714e-16,-3.01674e-07,8.43972e-06,1.59026e-05,3.63603e-16,7.58072e-17,-9.76367e-16,0.000151505,-0.0782778,0.0200178,-1.16693e-15,6.93467e-17,1.43069e-15,0.000151505,-0.0782778,0.0200178,9.82668e-16
0.016,0,0,0.00307306,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-9.26881e-18,-0.00280141,10.1043,10.1043,2.56146e-08,2.56146e-08,4,4,0,-2.93828e-18,-7.14655e-18,-0.100003,0.201739,-0.100667,3.70279e-17,-1.97245e-18,-7.16389e-18,-0.100003,0.201739,-0.100667,-3.19878e-17,4.86801e-16,9.59391e-16,-2.94823e-07,7.79586e-06,1.36839e-05,-3.80596e-16,-2.65293e-16,-9.00948e-16,-2.94823e-07,7.79586e-06,1.36839e-05,2.89732e-16,5.84335e-17,-7.01647e-16,0.000151522,-0.0782781,0.0200171,-1.12896e-15,7.24617e-17,1.06914e-15,0.000151522,-0.0782781,0.0200171,9.49955e-16
0.018,0,0,0.00307305,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-1.16652e-17,-0.00280148,10.1043,10.1043,2.86872e-08,2.86872e-08,4,4,0,-1.5896e-18,-3.6481e-18,-0.100003,0.201739,-0.100667,3.72985e-17,-2.90397e-18,-1.05362e-17,-0.100003,0.201739,-0.100667,-3.22158e-17,6.74341e-16,1.74923e-15,-2.87486e-07,7.14849e-06,1.14809e-05,1.35273e-16,-4.65762e-16,-1.68616e-15,-2.87486e-07,7.14849e-06,1.14809e-05,-1.13974e-16,1.905e-17,-9.94672e-16,0.000151538,-0.0782783,0.0200165,-1.08251e-15,9.68302e-17,1.35033e-15,0.000151538,-0.0782783,0.0200165,9.38069e-16
0.02,0,0,0.00307304,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-1.27377e-17,-0.00280153,10.1043,10.1043,3.1779e-08,3.1779e-08,4,4,0,-5.53295e-19,-1.23e-18,-0.100003,0.201739,-0.100667,3.67138e-17,-3.62288e-18,-1.28339e-17,-0.100003,0.201739,-0.100667,-3.23072e-17,5.1815e-16,1.20905e-15,-2.7969e-07,6.49906e-06,9.29801e-06,-2.92352e-16,-3.59451e-16,-1.14885e-15,-2.7969e-07,6.49906e-06,9.29801e-06,-4.57188e-17,-4.80305e-17,-2.09501e-15,0.000151553,-0.0782785,0.0200161,-1.12902e-15,1.53231e-16,2.44106e-15,0.000151553,-0.0782785,0.0200161,9.74956e-16
0.022,0,0,0.00307303,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-1.41035e-17,-0.00280158,10.1043,10.1043,3.48829e-08,3.48829e-08,4,4,0,3.41954e-19,1.43319e-18,-0.100003,0.201739,-0.100667,3.62174e-17,-4.21373e-18,-1.54208e-17,-0.100003,0.201739,-0.100667,-3.13216e-17,4.47624e-16,1.33159e-15,-2.71458e-07,5.84896e-06,7.13937e-06,-2.48174e-16,-2.95428e-16,-1.29346e-15,-2.71458e-07,5.84896e-06,7.13937e-06,4.92817e-16,-5.69493e-17,-1.4868e-15,0.000151566,-0.0782787,0.0200158,-1.07965e-15,1.59708e-16,1.83286e-15,0.000151566,-0.0782787,0.0200158,9.72619e-16
